Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,Total,ratio,ng_uL,ng
105,meBQ,RNAi3_12132022_72.mzXML,4.685,4.75,10916283,10904726.98,RNAi,3,72,RNAi 3,0.696131938,3.480659691,243.6461784
203,C11:1,RNAi3_12132022_72.mzXML,5.12,5.16,1409231,1399798.64,RNAi,3,72,RNAi 3,0.020814587,0.104072933,7.285105309
301,C11,RNAi3_12132022_72.mzXML,5.165,5.26,407137014,407095693.5,RNAi,3,72,RNAi 3,6.013484401,30.067422,2104.71954
399,dimeBQ,RNAi3_12132022_72.mzXML,5.295,5.37,15681342,15640647.35,RNAi,3,72,RNAi 3,1,5,350
497,memeOBQ,RNAi3_12132022_72.mzXML,5.705,5.795,16433080,16410624.48,RNAi,3,72,RNAi 3,1.047938372,5.239691858,366.7784301
595,ethyl decanoate,RNAi3_12132022_72.mzXML,6.78,6.86,80986078,80942099.31,RNAi,3,72,RNAi 3,1.196178436,5.980892181,418.6624527
693,isopropyl decanoate,RNAi3_12132022_72.mzXML,6.935,7.015,3994727,3975805.58,RNAi,3,72,RNAi 3,0.059002812,0.295014058,20.65098403
791,ethyl dodecanoate,RNAi3_12132022_72.mzXML,7.71,7.815,4285391,4273156.188,RNAi,3,72,RNAi 3,0.063295969,0.316479846,22.15358925
889,isopropyl dodecanoate,RNAi3_12132022_72.mzXML,7.84,7.93,581864,572888.28,RNAi,3,72,RNAi 3,0.008594232,0.042971162,3.007981314
987,C18,RNAi3_12132022_72.mzXML,8.575,8.655,67704011,67671076.11,RNAi,3,72,RNAi 3,1,5,350
13,pBQ,RNAi3_12132022_92.mzXML,4.046688596,4.086630117,1900117,1881850.5,RNAi,3,92,RNAi 3,0.11144293,0.55721465,39.00502547
111,meBQ,RNAi3_12132022_92.mzXML,4.685752924,4.750657895,13153173,13140533.04,RNAi,3,92,RNAi 3,0.771440989,3.857204943,270.004346
209,C11:1,RNAi3_12132022_92.mzXML,5.120116959,5.16005848,652519,646175.3375,RNAi,3,92,RNAi 3,0.008114472,0.040572359,2.840065158
307,C11,RNAi3_12132022_92.mzXML,5.16505117,5.259912281,181922465,181896003.4,RNAi,3,92,RNAi 3,2.262316847,11.31158423,791.8108964
405,dimeBQ,RNAi3_12132022_92.mzXML,5.294861111,5.369751462,17050135,17005598.17,RNAi,3,92,RNAi 3,1,5,350
503,memeOBQ,RNAi3_12132022_92.mzXML,5.704261696,5.794130117,10695070,10680450.38,RNAi,3,92,RNAi 3,0.627271866,3.136359331,219.5451532
601,ethyl decanoate,RNAi3_12132022_92.mzXML,6.777690058,6.857573099,32836123,32821159.83,RNAi,3,92,RNAi 3,0.408337224,2.041686118,142.9180282
699,isopropyl decanoate,RNAi3_12132022_92.mzXML,6.93246345,7.012346491,4473589,4459349.275,RNAi,3,92,RNAi 3,0.055631809,0.278159043,19.47113303
797,ethyl dodecanoate,RNAi3_12132022_92.mzXML,7.706330409,7.811176901,3636680,3624072.9,RNAi,3,92,RNAi 3,0.045224335,0.226121673,15.82851711
895,isopropyl dodecanoate,RNAi3_12132022_92.mzXML,7.836140351,7.926008772,595557,586195.78,RNAi,3,92,RNAi 3,0.007406115,0.037030573,2.59214013
993,C18,RNAi3_12132022_92.mzXML,8.570065789,8.64994883,80414229,80387124.69,RNAi,3,92,RNAi 3,1,5,350
18,pBQ,RNAi3_12132022_76.mzXML,4.045,4.085,934051,917260.645,RNAi,3,76,RNAi 3,0.062951105,0.314755526,22.03288685
116,meBQ,RNAi3_12132022_76.mzXML,4.685,4.75,6668025,6657838.725,RNAi,3,76,RNAi 3,0.449396814,2.246984072,157.288885
214,C11:1,RNAi3_12132022_76.mzXML,5.12,5.16,588874,583032.505,RNAi,3,76,RNAi 3,0.009355774,0.04677887,3.274520904
312,C11,RNAi3_12132022_76.mzXML,5.165,5.26,212590773,212567294.1,RNAi,3,76,RNAi 3,3.377549746,16.88774873,1182.142411
410,dimeBQ,RNAi3_12132022_76.mzXML,5.295,5.37,14837722,14795495.4,RNAi,3,76,RNAi 3,1,5,350
508,memeOBQ,RNAi3_12132022_76.mzXML,5.705,5.795,6040853,6029238.4,RNAi,3,76,RNAi 3,0.407128062,2.035640309,142.4948216
