TrinityID	GeneID	GEP_id	Dcor_v3_gene_id	DEO
TRINITY_GG_550_c6_g1	Dcor_evm.model.scaffold70_size734313.116	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.687	Dcor_evm.model.hic_scaffold_2_pilon.687
TRINITY_GG_550_c6_g1	Dcor_evm.model.scaffold70_size734313.116	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.687	Dcor_evm.model.hic_scaffold_2_pilon.687
TRINITY_GG_365_c843_g1	Dcor_evm.model.ctg24_len_2556950.47	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.72	Dcor_evm.model.hic_scaffold_2_pilon.72
TRINITY_GG_365_c37_g1	Dcor_evm.model.ctg24_len_2556950.49	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.74	Dcor_evm.model.hic_scaffold_2_pilon.74
TRINITY_GG_365_c9_g1	Dcor_evm.model.ctg24_len_2556950.52	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.77	Dcor_evm.model.hic_scaffold_2_pilon.77
TRINITY_GG_550_c1_g1	Dcor_evm.model.scaffold70_size734313.24	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.772	Dcor_evm.model.hic_scaffold_2_pilon.772
TRINITY_GG_550_c16_g1	Dcor_evm.model.scaffold70_size734313.18	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.778	Dcor_evm.model.hic_scaffold_2_pilon.778
TRINITY_GG_365_c538_g1	Dcor_evm.model.ctg24_len_2556950.53	GEP17	Dcor_evm.model.hic_scaffold_2_pilon.78	NA
TRINITY_GG_550_c36_g1	Dcor_evm.model.scaffold70_size734313.11	GEP9	Dcor_evm.model.hic_scaffold_2_pilon.785	Dcor_evm.model.hic_scaffold_2_pilon.785
TRINITY_GG_715_c56_g1	Dcor_evm.model.ctg28_len_882067.175	GEP9	Dcor_evm.model.hic_scaffold_21_pilon.45	Dcor_evm.model.hic_scaffold_21_pilon.45
TRINITY_GG_715_c33_g1	Dcor_evm.model.ctg28_len_882067.176	GEP9	Dcor_evm.model.hic_scaffold_21_pilon.46	NA
TRINITY_GG_715_c61_g1	Dcor_evm.model.ctg28_len_882067.179	GEP17	Dcor_evm.model.hic_scaffold_21_pilon.49	Dcor_evm.model.hic_scaffold_21_pilon.49
TRINITY_GG_804_c10_g1	Dcor_evm.model.ctg25_len_963869.129	GEP9	Dcor_evm.model.hic_scaffold_25_pilon.20	NA
TRINITY_GG_193_c613_g1	Dcor_evm.model.ctg3_len_6069552.9	GEP9	Dcor_evm.model.hic_scaffold_3_pilon.10	NA
TRINITY_GG_1034_c11_g1	Dcor_evm.model.ctg6_len_5675906.525	GEP17	Dcor_evm.model.hic_scaffold_3_pilon.1015	Dcor_evm.model.hic_scaffold_3_pilon.1015
TRINITY_GG_139_c18_g1	Dcor_evm.model.ctg6_len_5675906.478	GEP17	Dcor_evm.model.hic_scaffold_3_pilon.1056	Dcor_evm.model.hic_scaffold_3_pilon.1056
TRINITY_GG_139_c0_g1	Dcor_evm.model.ctg6_len_5675906.463	GEP17	Dcor_evm.model.hic_scaffold_3_pilon.1072	Dcor_evm.model.hic_scaffold_3_pilon.1072
TRINITY_GG_1034_c1011_g1	Dcor_evm.model.ctg6_len_5675906.417	GEP9	Dcor_evm.model.hic_scaffold_3_pilon.1116	NA
